lot_id,jour_age,mortalite_jour,aliment_kg,eau_litres,poids_moyen_g,temperature,symptome_sanitaire
LOT-0001,33,0,37.05,72.28,1592.1,31.4,0
LOT-0001,34,0,30.02,54.65,1562.5,28.2,0
LOT-0001,35,0,30.48,58.99,1583.2,31.8,0
LOT-0001,36,1,42.42,74.08,1647.9,29.2,0
LOT-0001,37,1,40.94,78.78,1701.3,30.0,0
LOT-0001,38,1,43.98,75.82,1709.2,28.7,0
LOT-0001,39,1,38.35,66.57,1736.9,30.4,0
LOT-0001,40,1,40.85,75.85,1733.2,31.7,0
LOT-0001,41,1,38.12,69.33,1755.8,29.3,0
LOT-0001,42,1,39.63,79.24,1765.9,32.0,0
LOT-0001,43,0,38.18,75.6,1839.1,29.5,0
LOT-0001,44,0,41.47,78.11,1781.8,31.9,0
LOT-0001,45,1,42.17,75.48,1799.9,28.5,0
LOT-0001,46,0,40.21,71.64,1792.4,30.4,0
LOT-0002,1,1,10.33,17.7,136.9,31.9,0
LOT-0002,2,1,9.83,18.37,171.7,28.4,0
LOT-0002,3,4,7.58,12.97,157.2,29.7,0
LOT-0002,4,1,10.6,21.11,222.5,28.2,0
LOT-0002,5,2,9.53,17.21,174.4,31.9,0
LOT-0002,6,1,7.85,13.73,227.7,31.2,0
LOT-0002,7,0,7.63,15.09,278.6,30.7,0
LOT-0002,8,1,22.99,43.92,277.5,29.5,0
LOT-0002,9,0,23.46,46.35,307.5,31.5,0
LOT-0002,10,0,25.75,45.93,406.7,28.3,0
LOT-0002,11,1,26.97,51.35,418.7,28.1,0
LOT-0002,12,1,27.73,55.32,427.4,28.2,0
LOT-0002,13,1,30.03,54.98,500.9,31.6,0
LOT-0002,14,0,26.01,48.27,532.4,31.2,0
LOT-0002,15,1,29.4,51.72,525.7,31.7,0
LOT-0002,16,1,22.34,44.01,656.4,30.0,0
LOT-0002,17,1,28.82,53.79,696.1,29.5,0
LOT-0002,18,1,27.3,49.74,771.2,31.3,0
LOT-0002,19,0,29.76,56.01,780.1,30.7,0
LOT-0002,20,1,31.67,60.83,872.8,30.6,0
LOT-0002,21,0,27.8,48.04,923.3,29.2,0
LOT-0002,22,1,42.09,83.98,958.1,30.4,0
LOT-0002,23,1,53.05,99.35,1016.5,29.6,0
LOT-0002,24,0,53.14,104.06,1054.5,31.5,0
LOT-0002,25,1,51.86,98.99,1104.0,31.7,0
LOT-0002,26,0,47.4,88.13,1197.5,30.2,0
LOT-0002,27,0,47.11,91.61,1264.8,31.6,0
LOT-0002,28,0,52.61,96.54,1279.7,31.0,0
LOT-0002,29,1,51.39,94.83,1347.9,30.9,0
LOT-0002,30,0,52.91,91.23,1420.4,28.6,0
LOT-0002,31,0,44.0,80.28,1425.0,28.2,0
LOT-0002,32,1,51.18,101.53,1505.5,28.1,0
LOT-0002,33,1,47.24,93.67,1513.4,31.6,0
LOT-0002,34,1,50.49,97.95,1581.7,31.6,0
LOT-0002,35,0,47.25,85.84,1570.7,30.9,0
LOT-0002,36,2,64.6,120.17,1585.4,31.6,0
LOT-0002,37,1,54.51,99.68,1664.4,29.0,0
LOT-0002,38,1,57.19,112.31,1669.0,29.1,0
LOT-0002,39,2,62.41,114.9,1705.4,31.8,0
LOT-0002,40,1,63.61,108.91,1719.7,28.1,0
LOT-0002,41,1,59.78,105.9,1736.2,31.8,0
LOT-0002,42,1,56.88,107.03,1768.9,31.9,0
LOT-0002,43,2,54.39,97.54,1733.0,30.3,0
LOT-0002,44,2,62.56,110.07,1771.5,30.4,0
LOT-0002,45,1,59.78,107.03,1794.3,31.2,0
LOT-0003,1,1,11.29,20.66,91.2,29.4,0
LOT-0003,2,5,9.56,16.76,112.2,30.5,0
LOT-0003,3,5,10.99,21.41,160.3,30.4,0
LOT-0003,4,2,13.23,23.6,144.4,30.3,0
LOT-0003,5,4,11.03,19.83,217.6,30.0,0
LOT-0003,6,1,9.98,18.75,250.9,30.1,0
LOT-0003,7,0,10.59,19.77,230.8,29.0,0
LOT-0003,8,1,32.8,55.93,272.7,29.0,0
LOT-0003,9,1,34.26,61.78,333.7,32.0,0
LOT-0003,10,1,32.77,58.72,345.9,29.3,0
LOT-0003,11,1,36.1,63.44,415.0,31.0,0
LOT-0003,12,1,37.04,69.6,459.1,29.2,0
LOT-0003,13,1,36.24,62.98,445.6,28.2,0
LOT-0003,14,0,39.6,74.9,493.2,28.0,0
LOT-0003,15,1,30.95,61.58,525.3,29.0,0
LOT-0003,16,1,26.99,49.86,549.2,28.6,0
LOT-0003,17,1,27.22,48.3,613.2,30.2,0
LOT-0003,18,1,34.73,67.12,640.7,29.2,0
LOT-0003,19,1,33.97,58.36,769.1,31.8,0
LOT-0003,20,0,34.78,61.89,800.1,30.2,0
LOT-0003,21,0,35.68,65.69,845.9,28.1,0
LOT-0003,22,1,65.93,113.49,892.3,31.2,0
LOT-0003,23,1,54.94,95.29,963.1,28.9,0
LOT-0003,24,0,54.03,92.82,1005.5,31.3,0
LOT-0003,25,1,59.3,106.22,1016.4,29.6,0
LOT-0003,26,1,58.69,110.3,1131.2,30.4,0
LOT-0003,27,0,62.57,122.52,1123.5,30.3,0
LOT-0003,28,0,64.98,121.7,1198.9,30.1,0
LOT-0003,29,1,67.75,124.03,1228.2,31.3,0
LOT-0003,30,1,58.02,104.22,1299.2,29.6,0
LOT-0003,31,1,57.79,111.43,1338.2,28.1,0
LOT-0003,32,0,53.15,102.67,1399.2,28.0,0
LOT-0003,33,1,52.06,96.6,1370.1,30.5,0
LOT-0003,34,1,51.93,92.44,1453.5,31.5,0
LOT-0003,35,1,61.23,118.77,1486.4,30.8,0
LOT-0003,36,1,72.79,128.65,1507.5,31.8,0
LOT-0003,37,2,79.81,142.67,1517.6,30.8,0
LOT-0003,38,1,73.31,134.67,1562.8,30.4,0
LOT-0003,39,2,67.53,130.45,1588.5,31.4,0
LOT-0003,40,1,70.12,119.26,1589.3,30.3,0
LOT-0003,41,2,72.35,133.51,1568.2,29.3,0
LOT-0003,42,2,78.74,154.4,1650.8,29.5,0
LOT-0003,43,2,70.11,129.14,1645.7,31.7,0
LOT-0003,44,2,76.3,144.63,1699.2,28.5,0
LOT-0003,45,2,66.69,130.28,1727.4,28.4,0
LOT-0004,1,2,10.52,18.14,115.2,30.1,0
LOT-0004,2,5,12.77,23.58,181.5,30.2,0
LOT-0004,3,3,11.74,20.97,167.2,31.9,0
LOT-0004,4,4,8.92,15.61,195.4,29.2,0
LOT-0004,5,1,8.7,15.73,188.5,29.6,0
LOT-0004,6,1,9.24,17.4,236.2,29.5,0
LOT-0004,7,1,11.14,19.71,235.3,30.7,0
LOT-0004,8,1,29.68,55.32,259.3,28.3,0
LOT-0004,9,1,29.79,59.24,299.9,29.2,0
LOT-0004,10,1,27.06,49.1,316.3,29.4,0
LOT-0004,11,1,25.83,50.34,373.8,31.5,0
LOT-0004,12,1,38.15,73.38,415.2,31.3,0
LOT-0004,13,1,28.64,55.58,455.7,29.0,0
LOT-0004,14,1,34.83,60.64,510.2,28.4,0
LOT-0004,15,1,36.27,62.02,529.5,31.6,0
LOT-0004,16,1,28.09,54.38,594.4,31.5,0
LOT-0004,17,1,29.03,50.78,684.1,31.9,0
LOT-0004,18,1,36.3,66.81,651.5,28.3,0
LOT-0004,19,1,34.48,65.59,695.0,30.2,0
LOT-0004,20,0,28.82,50.06,815.1,29.5,0
LOT-0004,21,1,30.37,57.45,813.2,29.9,0
LOT-0004,22,1,55.44,104.39,919.7,30.6,0
LOT-0004,23,1,61.3,116.15,951.8,28.1,0
LOT-0004,24,1,53.77,100.08,1004.3,29.6,0
LOT-0004,25,1,61.02,113.62,1017.2,31.5,0
LOT-0004,26,1,59.63,118.17,1081.8,29.1,0
LOT-0004,27,1,56.82,100.62,1106.9,29.5,0
LOT-0004,28,1,50.65,90.3,1254.2,31.9,0
LOT-0004,29,1,51.05,90.03,1204.3,28.2,0
LOT-0004,30,1,61.92,109.08,1239.8,31.3,0
LOT-0004,31,1,62.22,110.12,1339.4,30.4,0
LOT-0004,32,1,64.86,120.77,1328.4,31.2,0
LOT-0004,33,0,51.42,92.94,1416.8,28.1,0
LOT-0004,34,0,55.96,97.04,1410.9,28.3,0
LOT-0004,35,1,58.57,107.51,1481.4,30.9,0
LOT-0004,36,2,68.75,130.14,1538.8,28.1,0
LOT-0004,37,3,70.05,121.35,1525.7,31.6,0
LOT-0004,38,1,65.94,124.45,1530.7,30.3,0
LOT-0004,39,2,71.95,128.68,1553.3,31.2,0
LOT-0004,40,1,75.54,140.91,1599.7,31.5,0
LOT-0004,41,2,69.16,134.74,1587.1,29.3,0
LOT-0004,42,1,76.14,145.13,1660.8,29.9,0
LOT-0004,43,1,69.15,133.0,1643.1,28.2,0
LOT-0004,44,2,72.02,131.31,1675.8,31.5,0
LOT-0005,1,2,8.7,15.07,163.0,31.1,0
LOT-0005,2,3,11.29,22.49,147.3,31.3,0
LOT-0005,3,3,7.75,15.34,195.8,28.7,0
LOT-0005,4,3,9.02,15.35,190.3,31.5,0
LOT-0005,5,3,8.14,15.38,271.7,28.9,0
LOT-0005,6,1,9.08,17.4,264.7,31.1,0
LOT-0005,7,1,7.73,13.51,257.2,29.1,0
LOT-0005,8,1,28.43,50.66,290.2,31.0,0
LOT-0005,9,0,26.44,50.33,311.7,28.2,0
LOT-0005,10,1,22.95,41.09,387.7,28.8,0
LOT-0005,11,0,26.95,45.88,423.0,29.5,0
LOT-0005,12,1,33.18,64.43,449.3,28.3,0
LOT-0005,13,1,22.99,45.44,530.3,30.3,0
LOT-0005,14,1,24.14,41.19,531.0,29.3,0
LOT-0005,15,1,32.95,65.11,646.5,29.0,0
LOT-0005,16,1,27.5,49.31,682.8,29.4,0
LOT-0005,17,0,28.91,50.14,657.3,29.4,0
LOT-0005,18,1,32.6,57.73,764.2,28.6,0
LOT-0005,19,0,31.93,60.56,844.3,30.0,0
LOT-0005,20,1,28.04,55.44,922.7,30.3,0
LOT-0005,21,1,33.07,62.44,949.3,29.8,0
LOT-0005,22,0,45.75,84.74,1011.7,29.2,0
LOT-0005,23,0,56.84,97.94,1096.5,30.5,0
LOT-0005,24,1,52.76,102.22,1086.9,31.6,0
LOT-0005,25,1,54.04,97.08,1168.7,28.2,0
LOT-0005,26,0,49.64,95.03,1242.7,30.0,0
LOT-0005,27,0,50.99,93.4,1282.0,29.5,0
LOT-0005,28,0,49.57,93.16,1348.6,31.2,0
LOT-0005,29,1,46.0,87.56,1394.0,30.6,0
LOT-0005,30,1,49.29,92.41,1491.3,28.6,0
LOT-0005,31,1,54.35,98.79,1450.3,29.2,0
LOT-0005,32,1,55.85,106.17,1510.1,31.3,0
LOT-0005,33,1,51.69,97.89,1563.7,29.5,0
LOT-0005,34,0,57.62,106.36,1634.4,28.9,0
LOT-0005,35,0,56.17,97.19,1665.6,31.5,0
LOT-0005,36,0,67.61,117.6,1645.6,29.5,0
LOT-0005,37,1,67.52,131.17,1736.8,29.6,0
LOT-0005,38,1,63.45,113.29,1774.5,31.0,0
LOT-0005,39,1,61.69,119.84,1730.4,29.5,0
LOT-0005,40,2,63.24,112.85,1809.6,29.5,0
LOT-0005,41,1,67.34,130.67,1834.0,30.6,0
LOT-0005,42,2,58.57,114.43,1855.5,31.4,0
LOT-0005,43,1,60.45,119.18,1874.7,31.8,0
LOT-0005,44,1,61.22,104.56,1895.8,28.2,0
LOT-0005,45,1,68.69,124.5,1945.4,31.4,0
LOT-0006,1,2,4.28,7.55,180.4,28.6,0
LOT-0006,2,2,5.19,10.03,191.1,29.0,0
LOT-0006,3,1,4.33,8.45,224.8,30.0,0
LOT-0006,4,1,5.5,10.54,235.9,29.4,0
LOT-0006,5,1,5.69,10.57,264.3,29.4,0
LOT-0006,6,0,5.96,11.04,342.6,28.2,0
LOT-0006,7,0,5.87,10.61,330.7,28.3,0
LOT-0006,8,0,13.4,25.12,359.6,29.4,0
LOT-0006,9,0,18.42,35.1,383.5,31.9,0
LOT-0006,10,0,13.61,26.06,444.2,28.8,0
LOT-0006,11,0,14.86,26.64,479.4,29.6,0
LOT-0006,12,0,12.93,24.49,517.8,28.2,0
LOT-0006,13,0,18.21,33.34,627.8,29.6,0
LOT-0006,14,0,15.02,26.38,624.2,31.2,0
LOT-0006,15,0,15.61,28.55,666.8,32.0,0
LOT-0006,16,0,13.39,24.08,740.5,30.9,0
LOT-0006,17,0,15.77,30.25,835.9,31.6,0
LOT-0006,18,0,17.1,33.13,908.5,29.6,0
LOT-0006,19,0,13.79,23.57,952.3,31.4,0
LOT-0006,20,0,13.55,23.99,991.7,31.8,0
LOT-0006,21,0,15.79,28.6,1055.4,29.8,0
LOT-0006,22,0,28.32,50.82,1131.3,28.1,0
LOT-0006,23,0,32.73,56.8,1273.7,31.1,0
LOT-0006,24,0,30.29,57.8,1295.8,28.5,0
LOT-0006,25,0,31.11,62.19,1346.0,31.2,0
LOT-0006,26,1,30.61,58.55,1392.1,29.2,0
LOT-0006,27,0,30.87,54.09,1469.1,29.4,0
LOT-0006,28,0,31.61,55.98,1513.5,30.3,0
LOT-0006,29,0,26.29,51.67,1597.1,28.3,0
LOT-0006,30,1,28.42,51.8,1641.0,30.3,1
LOT-0006,31,1,29.42,55.2,1700.1,32.2,1
LOT-0006,32,2,27.21,47.58,1772.7,33.3,1
LOT-0006,33,1,26.86,50.7,1796.4,31.6,1
LOT-0006,34,1,29.48,58.09,1817.9,30.0,1
LOT-0006,35,2,26.01,48.68,1936.9,31.5,0
LOT-0006,36,1,33.98,60.26,1935.3,29.8,0
LOT-0006,37,1,34.58,63.6,1937.3,29.4,0
LOT-0006,38,0,33.94,67.76,1978.9,31.0,0
LOT-0006,39,0,33.43,58.06,2043.2,29.8,0
LOT-0006,40,0,38.07,74.59,1993.2,31.6,0
LOT-0006,41,1,36.43,64.01,2104.8,28.6,0
LOT-0006,42,1,37.29,68.96,2116.4,29.8,0
LOT-0006,43,0,31.87,56.87,2128.6,30.4,0
LOT-0006,44,1,33.27,56.64,2143.6,29.1,0
LOT-0006,45,0,31.7,54.38,2157.7,30.2,0
LOT-0007,1,4,16.75,30.45,151.6,31.8,0
LOT-0007,2,4,13.86,25.64,140.3,28.2,0
LOT-0007,3,2,13.61,25.0,157.3,29.3,0
LOT-0007,4,3,16.63,31.96,183.0,29.2,0
LOT-0007,5,3,13.84,26.47,210.2,29.5,0
LOT-0007,6,1,14.13,27.4,293.1,30.9,0
LOT-0007,7,1,13.46,26.79,285.5,30.3,0
LOT-0007,8,1,35.53,67.11,264.0,30.5,0
LOT-0007,9,1,44.51,76.09,350.1,28.1,0
LOT-0007,10,1,44.62,81.35,369.7,31.1,0
LOT-0007,11,2,45.29,77.84,422.2,29.3,0
LOT-0007,12,1,37.79,66.21,464.4,31.6,0
LOT-0007,13,1,45.79,87.75,470.5,30.4,0
LOT-0007,14,0,42.03,74.29,509.8,31.9,0
LOT-0007,15,1,35.82,68.47,578.6,31.7,0
LOT-0007,16,1,34.27,65.22,659.6,29.5,0
LOT-0007,17,2,48.72,94.58,685.9,30.9,0
LOT-0007,18,1,36.47,67.24,765.4,28.8,0
LOT-0007,19,1,44.08,76.75,776.6,29.0,0
LOT-0007,20,1,43.0,73.78,836.5,29.7,0
LOT-0007,21,1,45.24,76.98,862.0,29.6,0
LOT-0007,22,1,73.27,128.94,957.2,31.9,0
LOT-0007,23,1,81.87,141.38,1005.9,30.9,0
LOT-0007,24,2,66.86,131.36,1077.6,28.7,0
LOT-0007,25,2,71.12,131.47,1207.7,31.7,0
LOT-0007,26,1,74.44,128.94,1179.9,31.9,0
LOT-0007,27,1,73.84,136.47,1304.3,29.9,0
LOT-0007,28,0,66.21,121.67,1293.3,29.0,0
LOT-0007,29,1,78.68,147.16,1362.8,31.4,0
LOT-0007,30,1,73.06,126.1,1394.7,30.7,0
LOT-0007,31,0,69.23,122.84,1454.6,31.0,0
LOT-0007,32,1,77.09,131.32,1517.0,30.6,0
LOT-0007,33,1,64.94,116.38,1514.6,31.6,0
LOT-0007,34,1,64.83,128.03,1593.2,29.2,0
LOT-0007,35,1,65.05,113.57,1611.0,29.7,0
LOT-0007,36,2,91.12,173.06,1609.7,28.9,0
LOT-0007,37,1,96.67,166.71,1636.7,28.3,0
LOT-0007,38,1,91.02,168.54,1713.6,30.3,0
LOT-0007,39,1,90.42,156.87,1734.9,28.4,0
LOT-0007,40,2,89.03,165.06,1780.3,29.8,0
LOT-0007,41,1,94.83,181.79,1732.7,31.0,0
LOT-0007,42,1,86.93,149.44,1816.0,32.0,0
LOT-0007,43,2,96.53,165.02,1769.0,31.1,0
LOT-0007,44,3,87.53,174.87,1843.5,29.5,0
LOT-0007,45,3,86.39,164.56,1817.7,30.6,0
LOT-0007,46,1,88.93,165.29,1820.1,30.9,0
LOT-0008,1,2,11.39,19.89,190.8,31.1,0
LOT-0008,2,1,12.14,24.05,238.9,31.6,0
LOT-0008,3,1,12.01,22.03,189.9,29.0,0
LOT-0008,4,1,11.72,22.58,193.5,31.1,0
LOT-0008,5,2,10.15,20.05,236.0,31.1,0
LOT-0008,6,1,13.32,26.58,279.5,30.1,0
LOT-0008,7,1,11.71,21.99,325.4,30.7,0
LOT-0008,8,1,32.39,61.31,346.5,29.5,0
LOT-0008,9,1,33.28,59.57,412.6,29.0,0
LOT-0008,10,0,29.36,53.99,469.7,28.2,0
LOT-0008,11,1,35.01,63.6,485.0,28.3,0
LOT-0008,12,1,35.02,68.25,555.7,28.2,0
LOT-0008,13,1,27.63,47.57,595.2,30.7,0
LOT-0008,14,0,40.43,72.41,606.6,31.6,0
LOT-0008,15,0,37.99,73.1,696.2,30.8,0
LOT-0008,16,1,30.52,54.83,698.9,29.1,0
LOT-0008,17,1,31.47,56.89,837.1,31.2,0
LOT-0008,18,1,31.58,55.61,861.9,29.3,0
LOT-0008,19,0,37.76,64.38,915.5,30.9,0
LOT-0008,20,0,30.26,56.61,1003.5,29.0,0
LOT-0008,21,1,31.77,61.28,1042.9,31.0,0
LOT-0008,22,1,59.55,103.74,1154.8,30.2,0
LOT-0008,23,0,70.42,139.94,1173.7,28.3,0
LOT-0008,24,1,53.55,93.24,1282.3,30.5,0
LOT-0008,25,0,57.16,104.99,1390.2,31.7,0
LOT-0008,26,1,53.6,99.68,1436.4,29.6,0
LOT-0008,27,0,62.42,111.48,1448.8,29.7,0
LOT-0008,28,1,68.77,127.73,1549.1,29.0,0
LOT-0008,29,1,59.1,114.56,1664.8,29.8,0
LOT-0008,30,0,58.18,113.36,1696.1,28.3,0
LOT-0008,31,1,53.53,97.51,1699.5,30.5,0
LOT-0008,32,1,67.11,127.07,1790.4,29.3,0
LOT-0008,33,1,67.81,133.98,1825.0,30.8,0
LOT-0008,34,1,68.16,129.87,1915.9,29.1,0
LOT-0008,35,1,55.56,108.63,1920.8,28.6,0
LOT-0008,36,2,82.25,147.21,1943.6,30.3,0
LOT-0008,37,1,78.49,146.16,1946.5,31.2,0
LOT-0008,38,1,79.3,143.04,2036.6,28.4,0
LOT-0008,39,1,77.14,145.34,1984.4,29.3,0
LOT-0008,40,2,74.63,131.98,2028.4,30.2,0
LOT-0008,41,1,76.38,138.55,2093.0,29.0,0
LOT-0008,42,1,73.32,141.89,2091.5,28.6,0
LOT-0008,43,1,69.11,137.04,2092.5,28.4,0
LOT-0008,44,1,75.48,139.92,2164.8,28.4,0
LOT-0008,45,1,75.88,146.85,2169.3,29.7,0
LOT-0008,46,2,75.03,149.9,2178.4,29.0,0
LOT-0009,1,1,7.43,13.44,182.1,30.0,0
LOT-0009,2,2,5.54,9.43,147.7,29.6,0
LOT-0009,3,2,7.57,13.87,137.9,30.6,0
LOT-0009,4,2,6.79,12.96,220.4,29.9,0
LOT-0009,5,1,5.97,11.47,179.4,31.1,0
LOT-0009,6,0,7.29,13.19,199.6,31.7,0
LOT-0009,7,0,5.58,10.77,315.1,31.8,0
LOT-0009,8,0,22.53,38.77,311.7,31.4,0
LOT-0009,9,1,16.63,29.78,336.8,29.7,0
LOT-0009,10,0,20.5,38.43,386.3,30.1,0
LOT-0009,11,1,18.93,32.39,447.3,31.2,0
LOT-0009,12,1,16.28,28.89,441.6,30.7,0
LOT-0009,13,0,20.08,38.02,452.7,29.3,0
LOT-0009,14,0,16.19,28.6,485.5,31.0,0
LOT-0009,15,0,17.22,31.21,548.6,30.8,0
LOT-0009,16,0,19.41,34.72,644.2,31.7,0
LOT-0009,17,0,21.48,38.76,663.6,30.1,0
LOT-0009,18,0,21.41,39.3,778.5,28.3,0
LOT-0009,19,0,15.55,28.04,832.4,31.7,0
LOT-0009,20,2,18.03,32.96,883.1,31.6,1
LOT-0009,21,1,21.35,41.95,887.2,29.2,1
LOT-0009,22,3,37.85,70.44,978.8,30.7,1
LOT-0009,23,3,32.87,59.71,1019.1,30.9,1
LOT-0009,24,3,35.17,66.88,1094.1,30.5,1
LOT-0009,25,1,35.12,65.76,1117.8,32.1,0
LOT-0009,26,0,32.23,56.6,1212.5,31.4,0
LOT-0009,27,1,38.34,70.75,1261.6,30.2,0
LOT-0009,28,0,34.03,65.1,1328.7,29.8,0
LOT-0009,29,0,36.88,65.14,1373.2,29.2,0
LOT-0009,30,1,36.55,67.57,1407.3,30.0,0
LOT-0009,31,0,34.4,68.71,1408.4,31.0,0
LOT-0009,32,0,33.3,63.96,1480.8,30.6,0
LOT-0009,33,0,29.64,52.72,1538.8,31.5,0
LOT-0009,34,0,31.29,60.12,1561.1,30.8,0
LOT-0009,35,1,33.23,62.63,1614.0,31.2,0
LOT-0009,36,1,43.17,75.57,1591.4,31.9,0
LOT-0009,37,1,45.85,85.02,1702.9,28.5,0
LOT-0009,38,1,38.65,68.92,1665.9,30.6,0
LOT-0009,39,1,39.21,70.45,1718.5,29.6,0
LOT-0009,40,0,43.0,77.94,1788.5,28.3,0
LOT-0009,41,1,41.1,79.12,1743.5,29.8,0
LOT-0009,42,1,44.61,87.17,1731.5,28.4,0
LOT-0009,43,1,43.13,84.32,1803.6,31.9,0
LOT-0009,44,1,40.08,71.55,1787.6,30.2,0
LOT-0009,45,0,43.7,86.01,1826.1,30.5,0
LOT-0010,1,6,18.98,33.98,180.3,31.5,0
LOT-0010,2,4,15.19,26.2,191.4,28.2,0
LOT-0010,3,4,17.86,32.66,203.1,28.4,0
LOT-0010,4,1,13.1,24.6,234.0,28.0,0
LOT-0010,5,2,18.51,35.32,287.1,29.9,0
LOT-0010,6,0,18.13,31.38,308.5,29.5,0
LOT-0010,7,1,16.96,32.28,373.5,28.3,0
LOT-0010,8,1,41.55,75.01,406.0,31.7,0
LOT-0010,9,1,42.59,83.86,478.6,28.6,0
LOT-0010,10,0,45.38,82.99,488.2,30.6,0
LOT-0010,11,1,52.97,94.58,513.7,31.8,0
LOT-0010,12,0,56.18,98.97,571.5,29.6,0
LOT-0010,13,1,54.39,96.37,629.6,29.5,0
LOT-0010,14,1,39.36,77.41,722.3,29.3,0
LOT-0010,15,1,46.52,86.71,762.7,28.7,0
LOT-0010,16,1,39.28,73.7,843.5,31.7,0
LOT-0010,17,1,43.61,83.46,895.7,31.1,0
LOT-0010,18,1,50.81,94.57,970.6,28.3,0
LOT-0010,19,1,40.78,73.32,1045.6,30.3,0
LOT-0010,20,1,50.7,90.91,1053.8,29.0,0
LOT-0010,21,1,39.84,75.05,1209.8,28.2,0
LOT-0010,22,1,79.01,134.62,1264.2,30.0,0
LOT-0010,23,1,94.26,167.57,1340.2,29.5,0
LOT-0010,24,1,91.98,159.62,1430.7,29.7,0
LOT-0010,25,1,97.56,184.22,1473.1,30.0,0
LOT-0010,26,1,94.67,165.68,1582.5,31.6,0
LOT-0010,27,1,91.72,155.99,1665.2,31.4,0
LOT-0010,28,0,82.82,163.66,1724.7,28.1,0
LOT-0010,29,1,89.56,158.28,1819.8,29.0,0
LOT-0010,30,1,93.42,174.83,1852.1,28.2,0
LOT-0010,31,1,74.94,136.41,1909.2,31.5,0
LOT-0010,32,1,81.03,139.85,1916.2,29.2,0
LOT-0010,33,1,79.3,143.57,1997.9,31.9,0
LOT-0010,34,1,90.63,168.93,2044.1,31.7,0
LOT-0010,35,0,88.37,168.61,2071.6,28.0,0
LOT-0010,36,1,104.25,200.31,2121.0,31.9,0
LOT-0010,37,2,115.8,201.81,2181.3,29.1,0
LOT-0010,38,1,113.08,206.25,2222.7,31.0,0
LOT-0010,39,2,108.58,197.43,2216.2,30.4,0
LOT-0010,40,1,98.36,175.82,2296.3,29.6,0
LOT-0010,41,2,104.39,184.78,2243.3,31.8,0
LOT-0010,42,1,97.44,168.74,2292.9,28.5,0
LOT-0010,43,1,104.03,191.31,2342.3,31.4,0
LOT-0010,44,1,100.95,192.96,2341.5,31.4,0
LOT-0011,1,4,13.08,24.01,158.5,31.0,0
LOT-0011,2,2,15.39,26.81,235.8,31.9,0
LOT-0011,3,2,12.8,24.18,214.2,30.6,0
LOT-0011,4,3,15.32,26.14,284.3,29.8,0
LOT-0011,5,2,15.36,27.64,282.5,28.2,0
LOT-0011,6,1,13.85,26.96,285.4,30.7,0
LOT-0011,7,0,11.59,20.68,325.8,31.5,0
LOT-0011,8,0,36.38,65.07,329.7,28.2,0
LOT-0011,9,0,35.57,69.91,410.8,30.1,0
LOT-0011,10,1,45.91,91.67,439.5,30.2,0
LOT-0011,11,1,40.74,74.0,455.5,28.7,0
LOT-0011,12,1,47.52,91.88,597.5,30.1,0
LOT-0011,13,1,48.79,84.41,603.3,30.6,0
LOT-0011,14,1,47.73,81.94,646.1,31.4,0
LOT-0011,15,1,46.29,90.43,684.1,28.7,0
LOT-0011,16,1,43.77,86.41,781.4,31.8,0
LOT-0011,17,1,34.9,69.67,811.3,31.5,0
LOT-0011,18,1,40.05,69.17,869.7,30.1,0
LOT-0011,19,0,35.07,60.99,950.4,30.9,0
