lot_id,type_lot,date_entree,effectif_initial,prix_achat_unitaire,duree_prevue
LOT-0102,chair,2024-07-03,282,417,45
LOT-0103,chair,2024-09-04,938,479,45
LOT-0104,chair,2025-11-28,525,483,44
LOT-0105,chair,2025-07-08,406,513,44
LOT-0106,chair,2025-05-03,631,496,46
LOT-0107,chair,2024-04-04,583,493,44
LOT-0108,chair,2024-12-04,403,546,44
LOT-0109,chair,2024-05-01,229,449,46
LOT-0110,chair,2024-02-24,290,355,44
LOT-0111,chair,2024-08-03,577,435,46
LOT-0112,chair,2024-01-03,255,440,45
LOT-0113,chair,2025-05-14,802,404,45
LOT-0114,chair,2025-09-29,856,379,44
LOT-0115,chair,2025-08-13,395,447,46
LOT-0116,chair,2025-11-08,600,534,44
LOT-0117,chair,2024-02-19,645,352,45
LOT-0118,chair,2024-10-30,833,462,44
LOT-0119,chair,2024-12-16,856,385,46
LOT-0120,chair,2024-03-30,494,396,44
LOT-0121,chair,2025-05-20,816,550,44
LOT-0122,chair,2025-05-09,677,544,44
LOT-0123,chair,2025-11-19,748,376,45
LOT-0124,chair,2024-11-03,817,441,44
LOT-0125,chair,2025-11-13,960,377,46
LOT-0126,chair,2024-01-22,740,375,46
LOT-0127,chair,2025-11-14,711,422,46
LOT-0128,chair,2025-09-08,700,534,45
LOT-0129,chair,2024-11-26,493,517,44
LOT-0130,chair,2024-02-07,730,406,45
LOT-0131,chair,2024-08-28,535,409,45
LOT-0132,chair,2024-12-04,448,406,44
LOT-0133,chair,2024-09-04,202,459,46
LOT-0134,chair,2024-10-07,862,484,44
LOT-0135,chair,2025-08-17,630,417,44
LOT-0136,chair,2024-02-05,296,520,45
LOT-0137,chair,2025-01-25,620,456,46
LOT-0138,chair,2025-01-08,367,447,45
LOT-0139,chair,2025-01-25,521,396,46
LOT-0140,chair,2025-08-21,474,423,46
LOT-0141,chair,2025-07-13,645,447,45
LOT-0142,chair,2024-11-01,977,516,46
LOT-0143,chair,2024-08-17,397,402,44
LOT-0144,chair,2025-01-26,656,545,46
LOT-0145,chair,2025-08-02,903,537,45
LOT-0146,chair,2024-04-10,714,377,46
LOT-0147,chair,2024-12-28,938,510,44
LOT-0148,chair,2025-06-21,570,494,44
LOT-0149,chair,2024-10-25,466,469,45
LOT-0150,chair,2024-10-05,849,537,46
LOT-0151,chair,2025-02-11,526,524,45
LOT-0152,chair,2024-01-30,974,487,46
LOT-0153,chair,2024-09-28,548,413,44
LOT-0154,chair,2024-09-14,666,444,44
LOT-0155,chair,2025-08-06,471,362,46
LOT-0156,chair,2025-11-29,775,457,46
LOT-0157,chair,2025-09-11,928,453,45
LOT-0158,chair,2024-04-04,853,418,46
LOT-0159,chair,2025-11-19,1000,424,44
LOT-0160,chair,2025-02-13,837,516,45
LOT-0161,chair,2025-08-13,617,357,45
LOT-0162,chair,2024-07-09,780,463,45
LOT-0163,chair,2025-08-15,310,505,45
LOT-0164,chair,2024-10-29,753,521,44
LOT-0165,chair,2024-06-21,291,354,46
LOT-0166,chair,2025-05-26,548,416,46
LOT-0167,chair,2024-05-30,575,423,46
LOT-0168,chair,2025-12-03,398,389,44
LOT-0169,chair,2024-10-13,580,403,46
LOT-0170,chair,2025-03-22,545,541,44
LOT-0171,chair,2025-11-12,724,510,44
LOT-0172,chair,2025-09-23,942,439,44
LOT-0173,chair,2025-04-28,237,436,45
LOT-0174,chair,2024-08-30,518,490,45
LOT-0175,chair,2025-03-03,810,481,44
LOT-0176,chair,2024-05-21,236,525,44
LOT-0177,chair,2025-07-24,851,426,46
LOT-0178,chair,2024-05-01,343,359,45
LOT-0179,chair,2025-12-18,222,432,44
LOT-0180,chair,2025-05-25,687,445,44
LOT-0181,chair,2024-08-28,475,434,44
LOT-0182,chair,2025-10-06,804,376,45
LOT-0183,chair,2024-07-28,348,466,44
LOT-0184,chair,2024-02-20,588,488,45
LOT-0185,chair,2024-09-29,518,382,45
LOT-0186,chair,2024-09-25,601,359,44
LOT-0187,chair,2024-11-28,560,431,44
LOT-0188,chair,2024-10-30,311,525,46
LOT-0189,chair,2024-02-09,629,395,44
LOT-0190,chair,2025-02-16,752,424,46
LOT-0191,chair,2024-03-28,357,384,46
LOT-0192,chair,2025-09-19,563,394,44
LOT-0193,chair,2025-04-01,467,516,45
LOT-0194,chair,2024-06-28,282,388,44
LOT-0195,chair,2024-01-11,499,514,44
LOT-0196,chair,2024-07-08,348,493,45
LOT-0197,chair,2024-01-17,732,413,45
LOT-0198,chair,2024-05-24,230,504,45
LOT-0199,chair,2025-06-16,268,352,45
LOT-0200,chair,2024-06-13,512,468,45
LOT-0201,chair,2024-12-16,848,458,46
LOT-0202,chair,2025-02-24,703,397,44
LOT-0203,chair,2025-04-20,322,503,44
LOT-0204,chair,2024-10-31,298,489,45
LOT-0205,chair,2025-01-23,872,487,45
LOT-0206,chair,2025-12-11,798,524,44
LOT-0207,chair,2024-06-09,852,419,46
LOT-0208,chair,2025-11-13,590,447,46
LOT-0209,chair,2025-01-06,809,366,46
LOT-0210,chair,2025-11-22,353,492,45
LOT-0211,chair,2024-05-26,651,366,46
LOT-0212,chair,2025-02-15,394,515,46
LOT-0213,chair,2025-12-17,449,483,44
LOT-0214,chair,2024-05-19,911,386,46
LOT-0215,chair,2024-10-16,333,487,45
LOT-0216,chair,2025-07-21,538,375,46
LOT-0217,chair,2025-10-17,417,445,46
LOT-0218,chair,2025-08-20,828,380,45
LOT-0219,chair,2024-12-05,261,483,44
LOT-0220,chair,2025-11-26,996,458,46
LOT-0221,chair,2024-04-29,797,544,46
LOT-0222,chair,2024-09-07,349,463,45
LOT-0223,chair,2025-04-10,915,426,45
LOT-0224,chair,2024-05-25,517,461,45
LOT-0225,chair,2024-10-06,735,460,44
LOT-0226,chair,2024-03-25,417,356,45
LOT-0227,chair,2024-04-09,674,489,46
LOT-0228,chair,2024-08-26,868,510,45
LOT-0229,chair,2025-08-11,666,402,46
LOT-0230,chair,2024-05-01,942,506,45
LOT-0231,chair,2025-06-12,925,461,46
LOT-0232,chair,2024-03-22,907,542,46
LOT-0233,chair,2024-09-15,273,398,46
LOT-0234,chair,2025-11-13,327,372,45
LOT-0235,chair,2024-11-29,647,529,44
LOT-0236,chair,2025-07-07,802,374,46
LOT-0237,chair,2024-01-30,533,413,45
LOT-0238,chair,2025-09-27,733,363,45
LOT-0239,chair,2024-04-15,638,498,45
LOT-0240,chair,2024-06-19,309,404,46
LOT-0241,chair,2024-04-22,439,456,44
LOT-0242,chair,2025-05-07,447,407,46
LOT-0243,chair,2024-09-08,844,438,45
LOT-0244,chair,2025-01-15,838,411,46
LOT-0245,chair,2025-11-04,680,408,45
LOT-0246,chair,2025-12-08,616,538,45
LOT-0247,chair,2024-11-05,753,374,44
LOT-0248,chair,2024-02-06,279,541,45
LOT-0249,chair,2025-12-28,631,446,46
LOT-0250,chair,2024-02-14,323,525,44
LOT-0251,chair,2025-08-22,783,353,46
LOT-0252,chair,2025-01-31,890,463,46
LOT-0253,chair,2025-06-27,351,445,45
LOT-0254,chair,2024-09-25,897,413,45
LOT-0255,chair,2024-05-10,714,475,46
LOT-0256,chair,2025-05-04,688,463,44
LOT-0257,chair,2025-07-12,414,534,46
LOT-0258,chair,2024-06-14,952,434,44
LOT-0259,chair,2025-09-07,720,499,46
LOT-0260,chair,2024-07-16,817,441,45
LOT-0261,chair,2025-06-02,699,492,46
LOT-0262,chair,2025-09-27,705,399,44
LOT-0263,chair,2024-09-04,452,503,46
LOT-0264,chair,2024-03-16,333,378,46
LOT-0265,chair,2024-07-19,523,493,45
LOT-0266,chair,2025-05-24,945,481,44
LOT-0267,chair,2024-06-12,230,534,46
LOT-0268,chair,2024-02-04,536,432,44
LOT-0269,chair,2024-11-23,255,445,44
LOT-0270,chair,2025-11-30,391,394,44
LOT-0271,chair,2025-10-13,937,454,46
LOT-0272,chair,2025-12-02,577,430,45
LOT-0273,chair,2024-04-12,696,384,44
LOT-0274,chair,2025-05-27,752,465,46
LOT-0275,chair,2025-08-11,410,531,45
LOT-0276,chair,2024-04-08,979,420,46
LOT-0277,chair,2024-01-30,284,535,46
LOT-0278,chair,2024-07-22,582,501,45
LOT-0279,chair,2025-02-23,681,425,44
LOT-0280,chair,2025-05-27,275,550,44
LOT-0281,chair,2024-02-26,867,388,44
LOT-0282,chair,2025-05-31,364,372,45
LOT-0283,chair,2024-06-04,778,470,44
LOT-0284,chair,2024-05-12,492,439,46
LOT-0285,chair,2025-01-05,607,386,45
LOT-0286,chair,2024-06-30,512,406,44
LOT-0287,chair,2024-02-21,610,480,44
LOT-0288,chair,2025-07-29,441,507,46
LOT-0289,chair,2025-06-07,983,521,46
LOT-0290,chair,2024-12-29,954,531,45
LOT-0291,chair,2025-11-08,963,492,44
LOT-0292,chair,2024-06-18,263,519,45
LOT-0293,chair,2024-07-29,676,421,44
LOT-0294,chair,2025-03-26,410,394,45
LOT-0295,chair,2024-03-15,696,507,45
LOT-0296,chair,2024-04-13,395,376,46
LOT-0297,chair,2024-08-13,324,427,46
LOT-0298,chair,2025-06-23,628,538,45
LOT-0299,chair,2025-10-17,779,352,45
LOT-0300,chair,2024-08-28,492,508,46
