lot_id,effectif_final,mortalite_totale_pct,poids_final_moyen_g,cout_total_fcfa,revenu_total_fcfa,marge_finale_fcfa,lot_a_risque
LOT-0097,332,10.03,2272.6,566844.0,752136.0,185292.0,1
LOT-0098,359,8.42,1907.6,480139.0,701639.0,221500.0,1
LOT-0099,774,8.29,1717.3,968396.0,1257946.0,289550.0,1
LOT-0100,448,8.76,1801.4,616342.0,758966.0,142624.0,1
LOT-0101,611,7.84,2117.1,920502.0,1356415.0,435913.0,0
LOT-0102,249,11.7,1656.4,308686.0,422116.0,113430.0,1
LOT-0103,863,8.0,1693.0,1106726.0,1281383.0,174657.0,0
LOT-0104,483,8.0,2223.1,717765.0,952893.0,235128.0,0
LOT-0105,371,8.62,1984.6,544917.0,750558.0,205641.0,1
LOT-0106,544,13.79,1935.6,824945.0,1148552.0,323607.0,1
LOT-0107,526,9.78,1891.6,746239.0,1068882.0,322643.0,1
LOT-0108,363,9.93,1796.1,505098.0,596792.0,91694.0,1
LOT-0109,218,4.8,1820.4,281763.0,418249.0,136486.0,0
LOT-0110,276,4.83,2103.1,351206.0,605646.0,254440.0,0
LOT-0111,526,8.84,2028.8,735370.0,1056910.0,321540.0,1
LOT-0112,241,5.49,1668.6,291685.0,407206.0,115521.0,0
LOT-0113,742,7.48,1868.3,930585.0,1488049.0,557464.0,0
LOT-0114,779,9.0,2337.9,1081847.0,1970522.0,888675.0,1
LOT-0115,366,7.34,1790.9,485944.0,610453.0,124509.0,0
LOT-0116,551,8.17,1631.8,734160.0,945591.0,211431.0,1
LOT-0117,589,8.68,2048.3,737665.0,1126599.0,388934.0,1
LOT-0118,763,8.4,2250.8,1139403.0,1776348.0,636945.0,1
LOT-0119,787,8.06,2020.6,1014972.0,1535334.0,520362.0,1
LOT-0120,447,9.51,2207.9,625031.0,960768.0,335737.0,1
LOT-0121,752,7.84,2101.5,1128411.0,1372950.0,244539.0,0
LOT-0122,601,11.23,1696.8,822760.0,936307.0,113547.0,1
LOT-0123,690,7.75,1652.0,789775.0,1240679.0,450904.0,0
LOT-0124,749,8.32,1916.2,962915.0,1466987.0,504072.0,1
LOT-0125,880,8.33,1757.1,1094937.0,1566533.0,471596.0,1
LOT-0126,677,8.51,1799.8,843394.0,1122200.0,278806.0,1
LOT-0127,639,10.13,1698.1,796579.0,1090349.0,293770.0,1
LOT-0128,642,8.29,1946.5,946632.0,1198238.0,251606.0,1
LOT-0129,454,7.91,1844.0,629779.0,762960.0,133181.0,0
LOT-0130,674,7.67,1861.2,837692.0,1304272.0,466580.0,0
LOT-0131,487,8.97,1981.3,656098.0,913913.0,257815.0,1
LOT-0132,406,9.38,1851.7,496780.0,658460.0,161680.0,1
LOT-0133,188,6.93,1828.3,247562.0,336034.0,88472.0,0
LOT-0134,793,8.0,2142.3,1167889.0,1729988.0,562099.0,1
LOT-0135,574,8.89,1681.1,693394.0,965671.0,272277.0,1
LOT-0136,277,6.42,2037.9,392287.0,588744.0,196457.0,0
LOT-0137,559,9.84,2313.8,868635.0,1160751.0,292116.0,1
LOT-0138,335,8.72,1741.0,433438.0,635318.0,201880.0,1
LOT-0139,473,9.21,1840.0,618297.0,814901.0,196604.0,1
LOT-0140,436,8.02,1987.0,580940.0,803595.0,222655.0,1
LOT-0141,585,9.3,2045.7,818023.0,1164098.0,346075.0,1
LOT-0142,887,9.21,1791.4,1221367.0,1482309.0,260942.0,1
LOT-0143,368,7.3,2306.5,514967.0,898720.0,383753.0,0
LOT-0144,572,12.8,2037.5,932813.0,1028950.0,96137.0,1
LOT-0145,822,8.97,1701.1,1122197.0,1244958.0,122761.0,1
LOT-0146,639,10.5,2325.0,952878.0,1423074.0,470196.0,1
LOT-0147,866,7.68,2001.0,1242925.0,1687797.0,444872.0,0
LOT-0148,523,8.25,2156.5,778019.0,1152380.0,374361.0,1
LOT-0149,416,10.73,1786.0,564429.0,676089.0,111660.0,1
LOT-0150,758,10.72,1796.8,1113216.0,1236559.0,123343.0,1
LOT-0151,475,9.7,2292.6,780781.0,1104508.0,323727.0,1
LOT-0152,878,9.86,2186.7,1377447.0,1826427.0,448980.0,1
LOT-0153,505,7.85,1778.9,631966.0,765848.0,133882.0,0
LOT-0154,609,8.56,1671.6,733334.0,1030058.0,296724.0,1
LOT-0155,431,8.49,1895.1,539336.0,776188.0,236852.0,1
LOT-0156,704,9.16,2025.9,991638.0,1227826.0,236188.0,1
LOT-0157,835,10.02,2364.0,1287911.0,2093414.0,805503.0,1
LOT-0158,782,8.32,2139.4,1143639.0,1795405.0,651766.0,1
LOT-0159,918,8.2,1707.0,1117786.0,1552673.0,434887.0,1
LOT-0160,776,7.29,2133.5,1134228.0,1735348.0,601120.0,0
LOT-0161,567,8.1,2023.2,725322.0,1140980.0,415658.0,1
LOT-0162,700,10.26,1843.8,961896.0,1214758.0,252862.0,1
LOT-0163,288,7.1,2304.1,455664.0,700084.0,244420.0,0
LOT-0164,696,7.57,2270.0,1079566.0,1633401.0,553835.0,0
LOT-0165,264,9.28,1872.3,329301.0,496444.0,167143.0,1
LOT-0166,502,8.39,1803.6,647715.0,989178.0,341463.0,1
LOT-0167,516,10.26,1957.3,713501.0,1096577.0,383076.0,1
LOT-0168,369,7.29,1757.4,431799.0,603366.0,171567.0,0
LOT-0169,528,8.97,2185.1,760447.0,1221172.0,460725.0,1
LOT-0170,500,8.26,2016.3,724990.0,1043697.0,318707.0,1
LOT-0171,670,7.46,2140.3,990720.0,1431942.0,441222.0,0
LOT-0172,853,9.45,2052.4,1154214.0,1622044.0,467830.0,1
LOT-0173,223,5.91,1915.5,285597.0,465407.0,179810.0,0
LOT-0174,477,7.92,1623.2,610968.0,692749.0,81781.0,0
LOT-0175,727,10.25,1696.9,934872.0,1075251.0,140379.0,1
LOT-0176,226,4.24,1856.1,304804.0,427474.0,122670.0,0
LOT-0177,764,10.22,2124.5,1082956.0,1413388.0,330432.0,1
LOT-0178,318,7.29,1654.1,363056.0,474996.0,111940.0,0
LOT-0179,203,8.56,1959.5,268001.0,428213.0,160212.0,1
LOT-0180,632,8.01,2058.2,892954.0,1173656.0,280702.0,1
LOT-0181,440,7.37,1667.9,546950.0,794508.0,247558.0,0
LOT-0182,733,8.83,1996.9,953337.0,1529471.0,576134.0,1
LOT-0183,320,8.05,1675.6,392562.0,561255.0,168693.0,1
LOT-0184,542,7.82,1700.6,701410.0,1013319.0,311909.0,0
LOT-0185,470,9.27,1923.8,598658.0,922502.0,323844.0,1
LOT-0186,533,11.31,2264.5,726586.0,1192372.0,465786.0,1
LOT-0187,512,8.57,1742.4,638235.0,819831.0,181596.0,1
LOT-0188,284,8.68,2280.2,481222.0,565681.0,84459.0,1
LOT-0189,578,8.11,1817.9,710370.0,903434.0,193064.0,1
LOT-0190,691,8.11,1893.1,907239.0,1132328.0,225089.0,1
LOT-0191,331,7.28,1732.5,391535.0,542688.0,151153.0,0
LOT-0192,488,13.32,1997.1,662596.0,937376.0,274780.0,1
LOT-0193,422,9.64,2093.2,654792.0,813207.0,158415.0,1
LOT-0194,266,5.67,1826.5,316002.0,518171.0,202169.0,0
LOT-0195,454,9.02,2159.6,676164.0,990028.0,313864.0,1
LOT-0196,322,7.47,2351.6,514821.0,662444.0,147623.0,0
LOT-0197,663,9.43,1662.0,789422.0,1024655.0,235233.0,1
LOT-0198,217,5.65,1744.8,278530.0,372601.0,94071.0,0
LOT-0199,250,6.72,1725.6,290802.0,369609.0,78807.0,0
LOT-0200,467,8.79,2313.7,715110.0,1151996.0,436886.0,1
LOT-0201,773,8.84,1965.8,1082049.0,1441142.0,359093.0,1
LOT-0202,635,9.67,1827.7,788291.0,1252347.0,464056.0,1
LOT-0203,295,8.39,1663.7,387215.0,462423.0,75208.0,1
LOT-0204,280,6.04,2089.0,419432.0,586136.0,166704.0,0
LOT-0205,781,10.44,1692.7,1024549.0,1423887.0,399338.0,1
LOT-0206,735,7.89,1926.7,1047112.0,1490638.0,443526.0,0
LOT-0207,774,9.15,2316.9,1125596.0,1638676.0,513080.0,1
LOT-0208,543,7.97,1952.5,744434.0,1118670.0,374236.0,0
LOT-0209,729,9.89,2377.2,1073444.0,1756201.0,682757.0,1
LOT-0210,315,10.76,1650.1,415136.0,566449.0,151313.0,1
LOT-0211,595,8.6,2136.5,815562.0,1339514.0,523952.0,1
LOT-0212,341,13.45,2098.9,546585.0,650330.0,103745.0,1
LOT-0213,400,10.91,2248.9,620877.0,978984.0,358107.0,1
LOT-0214,835,8.34,2147.1,1181179.0,1820272.0,639093.0,1
LOT-0215,296,11.11,1897.6,422031.0,518419.0,96388.0,1
LOT-0216,489,9.11,1663.7,577646.0,748891.0,171245.0,1
LOT-0217,382,8.39,1893.6,509370.0,730764.0,221394.0,1
LOT-0218,753,9.06,2138.6,1005451.0,1571581.0,566130.0,1
LOT-0219,241,7.66,1910.4,328308.0,447027.0,118719.0,0
LOT-0220,910,8.63,1981.1,1292334.0,1770995.0,478661.0,1
LOT-0221,734,7.9,2208.1,1169881.0,1708075.0,538194.0,0
LOT-0222,319,8.6,1817.7,429248.0,561456.0,132208.0,1
LOT-0223,839,8.31,2061.4,1166871.0,1642329.0,475458.0,1
LOT-0224,469,9.28,1711.8,604987.0,879846.0,274859.0,1
LOT-0225,659,10.34,1787.0,844146.0,1031730.0,187584.0,1
LOT-0226,384,7.91,1792.7,462203.0,740101.0,277898.0,0
LOT-0227,615,8.75,1660.3,807929.0,880698.0,72769.0,1
LOT-0228,795,8.41,2248.3,1220414.0,1941842.0,721428.0,1
LOT-0229,567,14.86,1699.3,741722.0,978674.0,236952.0,1
LOT-0230,856,9.13,2345.3,1356200.0,2016953.0,660753.0,1
LOT-0231,835,9.73,1956.7,1154373.0,1713400.0,559027.0,1
LOT-0232,833,8.16,1841.8,1238500.0,1570547.0,332047.0,1
LOT-0233,253,7.33,2266.5,353039.0,622459.0,269420.0,0
LOT-0234,305,6.73,2150.5,403641.0,567544.0,163903.0,0
LOT-0235,593,8.35,2200.4,924492.0,1321170.0,396678.0,1
LOT-0236,731,8.85,2275.4,1077456.0,1518624.0,441168.0,1
LOT-0237,487,8.63,1775.6,607677.0,737608.0,129931.0,1
LOT-0238,646,11.87,1855.4,803255.0,1183924.0,380669.0,1
LOT-0239,583,8.62,1897.4,819575.0,988294.0,168719.0,1
LOT-0240,287,7.12,1821.5,373665.0,541942.0,168277.0,0
LOT-0241,405,7.74,1885.4,535853.0,762849.0,226996.0,0
LOT-0242,398,10.96,1743.3,518028.0,668288.0,150260.0,1
LOT-0243,773,8.41,1574.2,925930.0,1130656.0,204726.0,1
LOT-0244,761,9.19,2020.3,1066148.0,1515981.0,449833.0,1
LOT-0245,615,9.56,1827.9,800687.0,1182152.0,381465.0,1
LOT-0246,567,7.95,2323.5,906260.0,1159773.0,253513.0,0
LOT-0247,682,9.43,2232.4,943930.0,1672891.0,728961.0,1
LOT-0248,258,7.53,1845.2,371652.0,416949.0,45297.0,0
LOT-0249,574,9.03,2208.7,845697.0,1092823.0,247126.0,1
LOT-0250,292,9.6,1903.7,413851.0,497717.0,83866.0,1
LOT-0251,722,7.79,1731.4,848019.0,1355864.0,507845.0,0
LOT-0252,808,9.21,2361.6,1298516.0,2085622.0,787106.0,1
LOT-0253,312,11.11,2042.2,440510.0,672326.0,231816.0,1
LOT-0254,819,8.7,2048.2,1107390.0,1514521.0,407131.0,1
LOT-0255,650,8.96,2332.9,1036211.0,1335463.0,299252.0,1
LOT-0256,623,9.45,2201.5,929412.0,1452852.0,523440.0,1
LOT-0257,372,10.14,2291.0,646938.0,856177.0,209239.0,1
LOT-0258,859,9.77,2033.9,1195937.0,1908449.0,712512.0,1
LOT-0259,665,7.64,2046.0,971760.0,1183989.0,212229.0,0
LOT-0260,736,9.91,2243.8,1095349.0,1440944.0,345595.0,1
LOT-0261,633,9.44,1757.2,887294.0,1126215.0,238921.0,1
LOT-0262,647,8.23,2312.8,908255.0,1323808.0,415553.0,1
LOT-0263,407,9.96,1994.2,609210.0,784626.0,175416.0,1
LOT-0264,308,7.51,1949.2,398224.0,524318.0,126094.0,0
LOT-0265,480,8.22,2030.1,709327.0,920094.0,210767.0,1
LOT-0266,863,8.68,1786.3,1113206.0,1538728.0,425522.0,1
LOT-0267,218,5.22,2009.6,329568.0,426048.0,96480.0,0
LOT-0268,495,7.65,1710.3,590182.0,900350.0,310168.0,0
LOT-0269,242,5.1,2141.5,339846.0,474660.0,134814.0,0
LOT-0270,364,6.91,1807.3,440250.0,620614.0,180364.0,0
LOT-0271,851,9.18,1973.5,1203708.0,1764718.0,561010.0,1
LOT-0272,529,8.32,1643.3,632862.0,805460.0,172598.0,1
LOT-0273,646,7.18,2111.2,852149.0,1305352.0,453203.0,0
LOT-0274,687,8.64,1772.8,930606.0,1202415.0,271809.0,1
LOT-0275,378,7.8,2218.9,599813.0,781915.0,182102.0,0
LOT-0276,871,11.03,2342.3,1348629.0,1988103.0,639474.0,1
LOT-0277,261,8.1,2260.3,428078.0,646854.0,218776.0,1
LOT-0278,531,8.76,2214.9,799006.0,1210110.0,411104.0,1
LOT-0279,618,9.25,1928.9,788070.0,1188099.0,400029.0,1
LOT-0280,248,9.82,1829.8,363264.0,437331.0,74067.0,1
LOT-0281,797,8.07,1990.8,1028227.0,1674797.0,646570.0,1
LOT-0282,338,7.14,1785.0,406303.0,657122.0,250819.0,0
LOT-0283,698,10.28,1996.1,982609.0,1425627.0,443018.0,1
LOT-0284,452,8.13,2252.7,683056.0,1043452.0,360396.0,1
LOT-0285,545,10.21,1898.9,684321.0,1021261.0,336940.0,1
LOT-0286,465,9.18,1918.5,599462.0,920733.0,321271.0,1
LOT-0287,561,8.03,2033.9,786638.0,1030296.0,243658.0,1
LOT-0288,402,8.84,1887.8,582771.0,790100.0,207329.0,1
LOT-0289,893,9.16,1911.1,1344210.0,1686648.0,342438.0,1
LOT-0290,852,10.69,2309.8,1383265.0,1974151.0,590886.0,1
LOT-0291,888,7.79,2285.6,1351972.0,2198776.0,846804.0,0
LOT-0292,247,6.08,2102.0,370115.0,511332.0,141217.0,0
LOT-0293,623,7.84,1724.7,755439.0,1136646.0,381207.0,0
LOT-0294,378,7.8,1686.3,441090.0,544911.0,103821.0,0
LOT-0295,619,11.06,2040.2,924250.0,1180454.0,256204.0,1
LOT-0296,362,8.35,2401.6,533281.0,887023.0,353742.0,1
LOT-0297,303,6.48,1674.5,377724.0,519098.0,141374.0,0
LOT-0298,573,8.76,2352.6,962924.0,1379896.0,416972.0,1
LOT-0299,716,8.09,1731.2,837325.0,1331117.0,493792.0,1
LOT-0300,438,10.98,1776.5,611157.0,662943.0,51786.0,1
