lot_id,effectif_initial,mortalite_cumulee_j14,taux_mortalite_j14,aliment_cumule_j14,poids_moyen_j14,depenses_cumulees_j14,temperature_moyenne_j14,symptomes_detectes_j14,target_lot_a_risque
LOT-0048,909,40,0.044,559.9,654.8,499543.0,29.95,0,1
LOT-0049,808,30,0.0371,427.92,544.1,457115.0,30.285714285714285,0,1
LOT-0050,420,12,0.0286,270.13,662.0,236841.0,29.87857142857143,0,0
LOT-0051,818,33,0.0403,571.54,643.3,480814.0,29.885714285714283,0,1
LOT-0052,640,22,0.0344,374.68,571.8,318509.0,30.057142857142857,0,1
LOT-0053,851,24,0.0282,419.7,476.4,383724.0,30.014285714285712,0,0
LOT-0054,333,13,0.039,192.84,541.6,191693.0,29.435714285714287,0,1
LOT-0055,894,31,0.0347,565.16,630.6,426570.0,29.535714285714285,0,1
LOT-0056,572,21,0.0367,313.92,557.9,280743.0,29.764285714285712,0,1
LOT-0057,900,32,0.0356,553.13,626.4,451201.0,30.014285714285712,0,1
LOT-0058,966,35,0.0362,596.23,565.2,594819.0,29.964285714285715,0,1
LOT-0059,653,23,0.0352,369.6,617.2,332743.0,30.264285714285712,0,1
LOT-0060,857,29,0.0338,563.4,632.6,540069.0,29.835714285714285,0,1
LOT-0061,267,5,0.0187,173.07999999999998,714.3,125148.0,30.24285714285714,0,0
LOT-0062,750,25,0.0333,451.96,630.3,383564.0,29.792857142857144,0,0
LOT-0063,808,26,0.0322,408.05,533.8,489488.0,30.857142857142858,0,1
LOT-0064,345,14,0.0406,195.78,619.3,166220.0,30.228571428571428,0,1
LOT-0065,780,30,0.0385,425.59,608.1,426894.0,29.657142857142855,0,1
LOT-0066,624,25,0.0401,334.92,523.2,308803.0,29.764285714285712,0,1
LOT-0067,851,30,0.0353,577.05,691.1,391880.0,30.021428571428572,0,1
LOT-0068,513,15,0.0292,350.40999999999997,682.9,288968.0,30.0,0,0
LOT-0069,628,25,0.0398,351.56,536.3,355178.0,30.24285714285714,0,1
LOT-0070,784,30,0.0383,486.11,674.9,499570.0,30.164285714285715,0,1
LOT-0071,254,6,0.0236,152.91,595.8,133178.0,29.7,0,0
LOT-0072,364,12,0.033,204.13,572.1,181173.0,29.907142857142855,0,1
LOT-0073,636,23,0.0362,387.42,646.0,305575.0,29.442857142857143,0,1
LOT-0074,372,13,0.0349,200.04000000000002,532.2,183038.0,30.271428571428572,0,0
LOT-0075,741,24,0.0324,496.17,711.8,369859.0,30.042857142857144,0,1
LOT-0076,980,39,0.0398,655.64,692.3,613522.0,29.542857142857144,0,1
LOT-0077,618,17,0.0275,418.12,667.7,299267.0,29.82857142857143,0,0
LOT-0078,743,33,0.0444,461.71,677.3,467664.0,29.821428571428573,0,1
LOT-0079,842,30,0.0356,374.54,543.6,491872.0,30.12857142857143,0,1
LOT-0080,326,10,0.0307,187.13,579.6,193919.0,29.792857142857144,0,0
LOT-0081,983,37,0.0376,603.52,623.1,538913.0,30.2,0,1
LOT-0082,202,6,0.0297,113.66,551.5,95956.0,30.207142857142856,0,0
LOT-0083,814,28,0.0344,390.04,448.7,375796.0,29.321428571428573,0,1
LOT-0084,937,35,0.0374,498.73,549.1,569848.0,29.764285714285712,0,1
LOT-0085,629,23,0.0366,362.69,562.3,279438.0,29.914285714285715,0,1
LOT-0086,467,18,0.0385,321.0,618.0,235358.0,29.75,0,1
LOT-0087,286,8,0.028,165.6,673.5,129170.0,30.150000000000002,0,1
LOT-0088,643,26,0.0404,328.23,544.2,289784.0,29.485714285714288,0,1
LOT-0089,460,13,0.0283,274.58,586.9,290953.0,29.821428571428573,0,0
LOT-0090,551,21,0.0381,411.96,740.5,292926.0,29.614285714285717,0,1
LOT-0091,786,28,0.0356,503.02,613.1,497849.0,29.978571428571428,0,1
LOT-0092,696,26,0.0374,460.85,671.2,364664.0,30.414285714285715,0,1
LOT-0093,774,32,0.0413,507.81,663.1,382336.0,30.00714285714286,0,1
LOT-0094,541,19,0.0351,366.92,710.3,352470.0,30.214285714285715,0,0
LOT-0095,550,20,0.0364,288.65,472.9,309084.0,30.192857142857143,0,1
LOT-0096,581,23,0.0396,313.11,544.2,266230.0,29.928571428571427,0,1
LOT-0097,369,14,0.0379,250.35,697.5,241899.0,30.185714285714287,0,1
LOT-0098,392,18,0.0459,229.24,562.7,210726.0,30.707142857142856,0,1
LOT-0099,844,27,0.032,408.96,457.4,446078.0,29.32857142857143,0,1
LOT-0100,491,17,0.0346,274.21,524.9,297721.0,30.207142857142856,0,1
LOT-0101,663,23,0.0347,415.35,618.2,391326.0,29.900000000000002,0,0
LOT-0102,282,9,0.0319,143.92,470.8,140621.0,29.957142857142856,0,1
LOT-0103,938,31,0.033,467.62,504.2,524121.0,30.2,0,0
LOT-0104,525,19,0.0362,334.42,651.7,307082.0,29.335714285714285,0,0
LOT-0105,406,16,0.0394,244.95,609.2,247470.0,30.042857142857144,0,1
LOT-0106,631,21,0.0333,354.86,554.3,369754.0,29.97142857142857,0,1
LOT-0107,583,27,0.0463,325.49,556.4,339497.0,29.62857142857143,0,1
LOT-0108,403,16,0.0397,198.69,508.8,251828.0,30.014285714285712,0,1
LOT-0109,229,5,0.0218,114.89,549.6,121203.0,30.307142857142857,0,0
LOT-0110,290,10,0.0345,185.18,608.7,132579.0,29.864285714285717,0,0
LOT-0111,577,20,0.0347,343.17,616.8,305902.0,30.192857142857143,0,1
LOT-0112,255,9,0.0353,130.09,485.8,133014.0,30.357142857142858,0,0
LOT-0113,802,27,0.0337,435.41,555.6,393674.0,30.25,0,0
LOT-0114,856,35,0.0409,587.78,684.9,418469.0,29.635714285714283,0,1
LOT-0115,395,11,0.0278,204.83,529.6,209338.0,30.342857142857145,0,0
LOT-0116,600,19,0.0317,293.94,503.0,367430.0,30.307142857142857,0,1
LOT-0117,645,26,0.0403,391.9,598.0,289744.0,30.264285714285712,0,1
LOT-0118,833,29,0.0348,572.26,676.2,476408.0,30.321428571428573,0,1
LOT-0119,856,27,0.0315,471.26,595.2,404962.0,29.978571428571428,0,1
LOT-0120,494,14,0.0283,317.54,637.4,246430.0,29.457142857142856,0,1
LOT-0121,816,28,0.0343,475.45,607.3,524872.0,30.335714285714285,0,0
LOT-0122,677,23,0.034,335.17,516.2,421915.0,29.807142857142857,0,1
LOT-0123,748,23,0.0307,361.42,492.2,339075.0,29.849999999999998,0,0
LOT-0124,817,32,0.0392,421.08,599.7,427670.0,29.692857142857143,0,1
LOT-0125,960,34,0.0354,516.57,513.6,444571.0,29.964285714285715,0,1
LOT-0126,740,30,0.0405,373.65,552.3,337284.0,29.607142857142858,0,1
LOT-0127,711,23,0.0323,359.63,490.1,357583.0,29.77857142857143,0,1
LOT-0128,700,23,0.0329,391.8,555.7,436488.0,30.178571428571427,0,1
LOT-0129,493,15,0.0304,280.73,545.5,299798.0,29.907142857142855,0,0
LOT-0130,730,24,0.0329,387.85,533.3,358436.0,30.24285714285714,0,0
LOT-0131,535,20,0.0374,317.31,566.6,269585.0,30.214285714285715,0,1
LOT-0132,448,19,0.0424,234.07,573.0,219339.0,29.75714285714286,0,1
LOT-0133,202,6,0.0297,97.78,533.8,108363.0,30.185714285714287,0,0
LOT-0134,862,28,0.0325,526.05,635.5,501376.0,30.314285714285713,0,1
LOT-0135,630,16,0.0254,319.54,511.0,313836.0,29.900000000000002,0,1
LOT-0136,296,11,0.0372,168.31,590.8,180850.0,29.914285714285715,0,0
LOT-0137,620,20,0.0323,421.8,676.0,350208.0,29.442857142857143,0,1
LOT-0138,367,14,0.0381,189.37,473.6,194348.0,30.50714285714286,0,1
LOT-0139,521,16,0.0307,262.97,537.7,248391.0,30.478571428571428,0,1
LOT-0140,474,18,0.038,264.91,510.4,242888.0,30.428571428571427,0,1
LOT-0141,645,27,0.0419,378.51,614.8,348877.0,30.235714285714288,0,1
LOT-0142,977,41,0.042,474.89,516.4,580114.0,30.414285714285715,0,1
LOT-0143,397,13,0.0327,287.02,680.1,205517.0,30.2,0,0
LOT-0144,656,28,0.0427,416.51,599.3,424162.0,29.978571428571428,0,1
LOT-0145,903,32,0.0354,443.26,515.3,555833.0,30.185714285714287,0,1
LOT-0146,714,26,0.0364,457.06,677.2,342308.0,30.27857142857143,0,1
LOT-0147,938,36,0.0384,524.1,592.6,562236.0,29.97142857142857,0,0
LOT-0148,570,19,0.0333,358.54,638.6,338946.0,29.307142857142857,0,1
LOT-0149,466,21,0.0451,234.17,551.5,256021.0,29.785714285714285,0,1
LOT-0150,849,29,0.0342,456.07,533.1,528884.0,29.857142857142858,0,1
LOT-0151,526,18,0.0342,353.01,676.2,332106.0,30.064285714285713,0,1
LOT-0152,974,29,0.0298,646.05,628.1,577706.0,29.228571428571428,0,1
LOT-0153,548,17,0.031,293.6,546.7,273300.0,30.207142857142856,0,0
LOT-0154,666,25,0.0375,321.04,518.5,347070.0,29.692857142857143,0,1
LOT-0155,471,17,0.0361,234.13,511.8,207963.0,30.157142857142855,0,1
LOT-0156,775,28,0.0361,426.48,508.3,422412.0,29.714285714285715,0,1
LOT-0157,928,31,0.0334,681.26,721.6,529386.0,30.12857142857143,0,1
LOT-0158,853,23,0.027,542.95,643.9,443426.0,29.82857142857143,0,1
LOT-0159,1000,38,0.038,482.69,495.3,501230.0,29.685714285714287,0,1
LOT-0160,837,26,0.0311,476.61,635.2,508150.0,29.657142857142855,0,0
LOT-0161,617,20,0.0324,387.01,605.7,282191.0,30.05,0,1
LOT-0162,780,30,0.0385,415.82,550.9,427671.0,30.099999999999998,0,1
LOT-0163,310,8,0.0258,214.44,705.5,190860.0,30.164285714285715,0,0
LOT-0164,753,25,0.0332,532.55,679.6,477521.0,30.085714285714285,0,0
LOT-0165,291,10,0.0344,165.76,568.0,129536.0,30.17142857142857,0,1
LOT-0166,548,20,0.0365,307.65,525.8,277192.0,30.464285714285715,0,1
LOT-0167,575,22,0.0383,330.15999999999997,555.4,296051.0,30.142857142857142,0,1
LOT-0168,398,13,0.0327,211.93,550.0,188731.0,30.107142857142858,0,0
LOT-0169,580,24,0.0414,376.48,642.4,293977.0,30.150000000000002,0,1
LOT-0170,545,18,0.033,301.6,558.3,343101.0,30.478571428571428,0,1
LOT-0171,724,24,0.0331,451.94,657.6,441550.0,29.8,0,0
LOT-0172,942,47,0.0499,541.0799999999999,612.8,500111.0,30.321428571428573,0,1
LOT-0173,237,7,0.0295,127.27,581.0,123695.0,29.942857142857143,0,0
LOT-0174,518,12,0.0232,238.32,501.5,291951.0,30.22142857142857,0,0
LOT-0175,810,24,0.0296,408.66,533.3,454996.0,30.214285714285715,0,1
LOT-0176,236,4,0.0169,132.94,535.7,145170.0,29.807142857142857,0,0
LOT-0177,851,32,0.0376,510.87,535.9,444265.0,30.12857142857143,0,1
LOT-0178,343,11,0.0321,164.53,479.4,149462.0,30.228571428571428,0,0
LOT-0179,222,6,0.027,126.44999999999999,519.0,116136.0,30.657142857142855,0,1
LOT-0180,687,20,0.0291,443.43,622.2,376664.0,29.8,0,1
LOT-0181,475,12,0.0253,239.47,476.6,244465.0,29.428571428571427,0,0
LOT-0182,804,34,0.0423,488.9,616.2,380528.0,30.22142857142857,0,1
LOT-0183,348,15,0.0431,157.38,460.0,187349.0,30.042857142857144,0,1
LOT-0184,588,21,0.0357,308.01,501.9,336226.0,30.52857142857143,0,0
LOT-0185,518,20,0.0386,287.39,539.3,243858.0,30.021428571428572,0,1
LOT-0186,601,22,0.0366,395.57,671.7,279050.0,30.085714285714285,0,1
LOT-0187,560,22,0.0393,294.02,500.2,288403.0,30.071428571428573,0,1
LOT-0188,311,10,0.0322,220.97,657.2,198630.0,29.714285714285715,0,1
LOT-0189,629,22,0.035,333.78,561.9,301860.0,30.021428571428572,0,1
LOT-0190,752,26,0.0346,397.45,550.9,382440.0,29.95,0,1
LOT-0191,357,11,0.0308,177.79,488.1,165534.0,29.67142857142857,0,0
LOT-0192,563,25,0.0444,341.71,557.0,276496.0,30.214285714285715,0,1
LOT-0193,467,13,0.0278,285.58,617.4,286665.0,29.664285714285715,0,1
LOT-0194,282,7,0.0248,161.06,563.6,135186.0,29.72142857142857,0,0
LOT-0195,499,23,0.0461,314.33,663.9,306779.0,29.914285714285715,0,1
LOT-0196,348,12,0.0345,223.13,691.9,207265.0,30.564285714285713,0,0
LOT-0197,732,31,0.0423,341.6,497.8,356972.0,29.807142857142857,0,1
LOT-0198,230,6,0.0261,116.45,498.8,134552.0,30.271428571428572,0,0
LOT-0199,268,9,0.0336,132.45,470.7,115528.0,29.74285714285714,0,0
LOT-0200,512,18,0.0352,341.57,683.4,294267.0,29.907142857142855,0,1
LOT-0201,848,32,0.0377,489.27,540.7,466667.0,30.364285714285717,0,1
LOT-0202,703,22,0.0313,378.79,558.3,339697.0,29.599999999999998,0,1
LOT-0203,322,12,0.0373,161.27,502.7,187769.0,30.178571428571427,0,1
LOT-0204,298,6,0.0201,192.91,607.9,176588.0,29.414285714285715,0,0
LOT-0205,872,29,0.0333,380.25,485.4,485504.0,30.12142857142857,0,1
LOT-0206,798,26,0.0326,475.95,574.7,494304.0,29.735714285714288,0,0
LOT-0207,852,27,0.0317,530.45,677.5,441860.0,29.428571428571427,0,1
LOT-0208,590,16,0.0271,337.4,543.4,317714.0,29.650000000000002,0,0
LOT-0209,809,35,0.0433,561.37,706.9,385913.0,30.264285714285712,0,1
LOT-0210,353,11,0.0312,168.52,421.3,200639.0,30.442857142857143,0,1
LOT-0211,651,23,0.0353,402.46000000000004,618.3,302660.0,29.5,0,1
LOT-0212,394,14,0.0355,246.93,585.9,242419.0,30.092857142857145,0,1
LOT-0213,449,20,0.0445,284.3,637.6,262355.0,30.107142857142858,0,1
LOT-0214,911,28,0.0307,567.4300000000001,604.6,442435.0,30.314285714285713,0,1
LOT-0215,333,11,0.033,190.01,557.4,192573.0,29.835714285714285,0,1
LOT-0216,538,21,0.039,257.15,536.1,242894.0,30.357142857142858,0,1
LOT-0217,417,15,0.036,205.5,533.3,218445.0,30.571428571428573,0,1
LOT-0218,828,26,0.0314,530.34,571.1,399494.0,30.014285714285712,0,1
LOT-0219,261,10,0.0383,149.94,534.0,150053.0,29.900000000000002,0,0
LOT-0220,996,35,0.0351,592.58,579.6,550981.0,30.185714285714287,0,1
LOT-0221,797,24,0.0301,480.52,660.2,510451.0,30.150000000000002,0,0
LOT-0222,349,12,0.0344,178.20000000000002,552.3,190099.0,30.142857142857142,0,1
LOT-0223,915,33,0.0361,572.21,579.9,481344.0,30.228571428571428,0,1
LOT-0224,517,18,0.0348,242.07,567.9,277068.0,30.085714285714285,0,1
LOT-0225,735,23,0.0313,361.18,539.9,395889.0,30.3,0,1
LOT-0226,417,15,0.036,243.22,523.7,187367.0,30.178571428571427,0,0
LOT-0227,674,24,0.0356,322.85,478.9,381242.0,29.72142857142857,0,1
LOT-0228,868,32,0.0369,546.36,652.7,530098.0,29.928571428571427,0,1
LOT-0229,666,29,0.0435,326.62,441.8,319991.0,29.87857142857143,0,1
LOT-0230,942,29,0.0308,596.95,637.9,572164.0,29.835714285714285,0,1
LOT-0231,925,42,0.0454,504.33,559.4,507118.0,29.87142857142857,0,1
LOT-0232,907,32,0.0353,484.12,549.9,569053.0,30.37857142857143,0,1
LOT-0233,273,9,0.033,178.37,657.2,137193.0,29.935714285714287,0,0
LOT-0234,327,11,0.0336,192.68,616.4,152473.0,29.978571428571428,0,0
LOT-0235,647,23,0.0355,427.35,666.9,410639.0,29.37142857142857,0,1
LOT-0236,802,31,0.0387,542.86,649.0,386806.0,30.27857142857143,0,1
LOT-0237,533,18,0.0338,275.55,449.9,264217.0,30.099999999999998,0,1
LOT-0238,733,29,0.0396,364.03,545.5,324324.0,30.0,0,1
LOT-0239,638,24,0.0376,366.49,533.8,376362.0,30.214285714285715,0,1
LOT-0240,309,9,0.0291,164.63,572.0,151177.0,29.37857142857143,0,0
LOT-0241,439,14,0.0319,253.2,561.1,240696.0,30.314285714285713,0,0
LOT-0242,447,17,0.038,215.15,504.0,216353.0,30.292857142857144,0,1
LOT-0243,844,32,0.0379,385.46,489.7,431346.0,29.82857142857143,0,1
LOT-0244,838,31,0.037,463.85,610.7,418634.0,29.678571428571427,0,1
LOT-0245,680,23,0.0338,360.93,552.2,335189.0,30.50714285714286,0,1
LOT-0246,616,20,0.0325,400.38,661.1,395469.0,29.97142857142857,0,0
LOT-0247,753,33,0.0438,497.35,666.8,361198.0,30.642857142857142,0,1
LOT-0248,279,9,0.0323,160.17000000000002,556.6,176566.0,29.535714285714285,0,0
LOT-0249,631,18,0.0285,382.07,679.5,342557.0,29.785714285714285,0,1
LOT-0250,323,10,0.031,181.44,573.0,198605.0,29.74285714285714,0,1
LOT-0251,783,27,0.0345,354.75,475.5,333159.0,29.95,0,0
LOT-0252,890,33,0.0371,664.4300000000001,683.5,518379.0,30.464285714285715,0,1
LOT-0253,351,11,0.0313,218.22,615.2,191110.0,29.62142857142857,0,1
LOT-0254,897,31,0.0346,529.74,577.5,455219.0,29.978571428571428,0,1
LOT-0255,714,24,0.0336,478.03000000000003,717.6,415635.0,29.77857142857143,0,1
LOT-0256,688,28,0.0407,459.93,688.9,392133.0,29.942857142857143,0,1
LOT-0257,414,16,0.0386,277.32,692.4,265447.0,30.021428571428572,0,1
LOT-0258,952,34,0.0357,543.43,585.2,500117.0,29.642857142857142,0,1
LOT-0259,720,22,0.0306,456.03000000000003,593.4,432245.0,30.428571428571427,0,0
LOT-0260,817,35,0.0428,542.54,723.2,447103.0,29.935714285714287,0,1
LOT-0261,699,21,0.03,392.85,492.3,406764.0,30.0,0,1
LOT-0262,705,24,0.034,488.08,650.8,359388.0,30.207142857142856,0,1
LOT-0263,452,17,0.0376,267.32,602.0,270127.0,30.435714285714287,0,1
LOT-0264,333,8,0.024,193.53,528.2,156839.0,29.985714285714288,0,0
LOT-0265,523,20,0.0382,297.14,570.7,305381.0,30.107142857142858,0,1
LOT-0266,945,33,0.0349,516.75,512.0,537225.0,29.935714285714287,0,1
LOT-0267,230,6,0.0261,134.54,611.7,144346.0,30.142857142857142,0,0
LOT-0268,536,17,0.0317,248.08,503.5,271245.0,30.285714285714285,0,0
LOT-0269,255,8,0.0314,158.13,618.5,138776.0,30.042857142857144,0,0
LOT-0270,391,13,0.0332,198.44,525.4,185804.0,29.614285714285717,0,0
LOT-0271,937,38,0.0406,489.74,592.2,503756.0,30.07857142857143,0,1
LOT-0272,577,19,0.0329,286.1,499.3,293886.0,30.07857142857143,0,1
LOT-0273,696,21,0.0302,454.6,622.4,340000.0,29.678571428571427,0,0
LOT-0274,752,22,0.0293,389.31,495.7,411970.0,29.857142857142858,0,1
LOT-0275,410,12,0.0293,277.53999999999996,688.5,262116.0,29.62857142857143,0,0
LOT-0276,979,38,0.0388,648.46,685.0,514934.0,29.785714285714285,0,1
LOT-0277,284,9,0.0317,177.07999999999998,694.4,180273.0,30.314285714285713,0,1
LOT-0278,582,21,0.0361,374.48,626.3,351499.0,30.24285714285714,0,1
LOT-0279,681,30,0.0441,384.2,558.2,350897.0,29.685714285714287,0,1
LOT-0280,275,7,0.0255,152.64,541.1,175672.0,30.178571428571427,0,1
LOT-0281,867,30,0.0346,538.39,553.5,422538.0,30.400000000000002,0,1
LOT-0282,364,13,0.0357,185.96,554.8,165162.0,29.557142857142857,0,0
LOT-0283,778,30,0.0386,467.14,600.2,440402.0,30.164285714285715,0,1
LOT-0284,492,16,0.0325,335.93,618.5,269737.0,29.892857142857142,0,1
LOT-0285,607,21,0.0346,328.95,504.6,286934.0,30.55,0,1
LOT-0286,512,19,0.0371,258.93,546.8,249301.0,29.849999999999998,0,1
LOT-0287,610,18,0.0295,378.23,555.3,353317.0,29.771428571428572,0,1
LOT-0288,441,15,0.034,241.91,546.7,262293.0,30.064285714285713,0,1
LOT-0289,983,42,0.0427,581.65,572.1,605207.0,29.650000000000002,0,1
LOT-0290,954,40,0.0419,628.0,676.9,607054.0,29.842857142857145,0,1
LOT-0291,963,33,0.0343,629.8,672.6,574564.0,30.042857142857144,0,0
LOT-0292,263,7,0.0266,169.07,638.6,163548.0,30.307142857142857,0,0
LOT-0293,676,24,0.0355,324.36,528.7,336494.0,30.021428571428572,0,0
LOT-0294,410,14,0.0341,198.66,491.4,193326.0,29.914285714285715,0,0
LOT-0295,696,30,0.0431,410.13,609.6,418493.0,29.635714285714283,0,1
LOT-0296,395,15,0.038,269.82,684.2,191691.0,30.021428571428572,0,1
LOT-0297,324,10,0.0309,166.59,504.9,165002.0,29.82857142857143,0,0
LOT-0298,628,22,0.035,434.93,657.9,407453.0,30.071428571428573,0,1
LOT-0299,779,28,0.0359,410.66,528.6,339914.0,29.7,0,1
LOT-0300,492,17,0.0346,258.5,543.5,291296.0,30.264285714285712,0,1
